💽广东频道,#genre#
汕头小公园,https://gctxyc.liveplay.myqcloud.com/gc/bsszjs_1/index.m3u8?contentid=2820180516001
汕头小公园,https://gctxyc.liveplay.myqcloud.com/gc/bsszjs_1_md.m3u8
汕头综合,http://113.78.253.125:8888/udp/239.253.43.45:5146
汕头综合,http://61.140.124.156:8888/udp/239.253.43.45:5146
汕头综合,http://183.238.248.84:9000/udp/239.21.0.101:3744
汕头综合,https://stqznews.top/tv/live/stzhhd.php
汕头综合,http://nas147.myds.me:8888/udp/239.253.43.45:5146
汕头综合,http://120.238.13.198:8000/hls/65/index.m3u8
汕头生活,http://61.140.124.156:8888/udp/239.253.43.46:5146
汕头生活,http://61.140.124.156:8888/udp/239.77.1.131:5146
汕头生活,https://stqznews.top/tv/live/stjjhd.php
汕头生活,http://183.238.248.84:9000/udp/239.21.0.102:3748
汕头经济,http://113.78.253.125:8888/udp/239.253.43.46:5146
汕头经济,http://120.238.13.198:8000/hls/66/index.m3u8
汕头文旅体育,http://113.78.253.125:8888/udp/239.253.43.47:5146
汕头文旅体育,http://14.121.146.185:30001/udp/239.77.1.132:5146
汕头文旅体育,http://183.238.248.84:9000/udp/239.21.0.103:3752
潮州综合,http://mywlkj.ddns.net:754/tv/28.php?id=28013
潮州综合,http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州民生,http://mywlkj.ddns.net:754/tv/28.php?id=28014
潮州民生,http://120.238.13.198:8000/hls/67/index.m3u8
潮州民生,http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8
「联通」汕头文旅,http://211.97.63.3:801/hls/80/index.m3u8
「联通」汕头综合,http://211.97.63.3:801/hls/81/index.m3u8
「联通」汕头经济,http://211.97.63.3:801/hls/82/index.m3u8
「联通」潮州综合,http://211.97.63.3:801/hls/503/index.m3u8
潮安综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2523
潮安综合,http://php.jdshipin.com:8880/chudian.php?id=cazh
揭阳生活,http://113.78.253.125:8888/udp/239.77.0.251:5146
普宁台,http://ci.emdoor.tech:8080/touchtv.php?pk=2450
普宁台,http://php.jdshipin.com:8880/chudian.php?id=pnzh
汕尾文化生活,http://113.78.253.125:8888/udp/239.77.0.187:5146
汕尾文化生活,http://120.238.13.198:8000/hls/70/index.m3u8
汕尾新闻综合,http://113.78.253.125:8888/udp/239.77.0.25:5146
广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj
广东珠江「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
广东珠江「IPV6」,http://[2409:8087:7001:20:1000::96]:6610/000000001000/1000000004000011655/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3&HlsProfileId=
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东新闻,https://php.17186.eu.org/gdtv/xwpd.m3u8
广东新闻,http://mywlkj.ddns.net:754/tv/touchtv.php?pk=1186
广东新闻,http://113.81.20.104:9901/tsfile/live/1000_1.m3u8?key=tvbox6_com&playlive=1&authid=0
广东新闻,http://113.101.119.52:808/hls/106/index.m3u8
广东新闻,http://183.238.248.83:9000/udp/239.21.0.93:3712
广东经济科教,http://113.101.119.52:808/hls/129/index.m3u8
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东少儿,http://113.78.253.125:8888/udp/239.77.0.250:5146
广东影视,https://php.17186.eu.org/gdtv/gdys.m3u8
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
增城电视台,http://pl1.cloud.dayang.com.cn/live/10062_E5i2s6.m3u8
深圳众创TV,http://113.78.253.125:8888/udp/239.77.1.247:5146
深圳龙岗,http://liveplay.sznews.com/66_showto_live/2647.m3u8
深圳都市,http://113.78.253.125:8888/udp/239.77.1.176:5146
深圳宝安,http://113.78.253.125:8888/udp/239.77.1.67:5146
深圳宝安第一课,http://113.78.253.125:8888/udp/239.77.1.225:5146
深圳财经生活,http://113.78.253.125:8888/udp/239.77.1.242:5146 
深圳电视剧,http://113.78.253.125:8888/udp/239.77.1.177:5146 
深圳电视剧,http://113.78.253.125:8888/udp/239.77.1.125:5146 
深圳都市,http://113.78.253.125:8888/udp/239.77.1.176:5146 
深圳都市,http://113.78.253.125:8888/udp/239.77.1.124:5146 
深圳公共,http://113.78.253.125:8888/udp/239.77.1.178:5146 
深圳公共,http://113.78.253.125:8888/udp/239.77.1.126:5146 
深圳龙岗,http://113.78.253.125:8888/udp/239.77.1.223:5146 
深圳少儿,http://113.78.253.125:8888/udp/239.77.1.244:5146 
深圳体育健康,http://113.78.253.125:8888/udp/239.77.1.128:5146 
深圳宜和购物,http://113.78.253.125:8888/udp/239.77.1.87:5146 
深圳移动电视,http://113.78.253.125:8888/udp/239.77.1.175:5146 
深圳娱乐,http://113.78.253.125:8888/udp/239.77.1.243:5146 
东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
云浮综合,https://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
阳江综合,http://mywlkj.ddns.net:754/tv/28.php?id=28008
阳江公共,http://mywlkj.ddns.net:754/tv/28.php?id=28009 
嘉佳卡通,http://php.jdshipin.com:8880/chudian.php?id=jjkt
广东国际,http://php.jdshipin.com:8880/chudian.php?id=gdgj
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广东综艺4K,http://php.jdshipin.com:8880/chudian.php?id=gdzy
肇庆生活,http://mywlkj.ddns.net:754/tv/touchtv.php?pk=2525
肇庆综合,http://mywlkj.ddns.net:754/tv/touchtv.php?pk=1232
惠州新闻综合,http://php.jdshipin.com:8880/chudian.php?id=hzxw
清远文旅生活,http://113.78.253.125:8888/udp/239.253.43.34:5146
清远新闻综合,http://113.78.253.125:8888/udp/239.253.43.33:5146
梅州综合,http://mywlkj.ddns.net:754/tv/28.php?id=28015
梅州生活,http://mywlkj.ddns.net:754/tv/28.php?id=28016
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg
连平台,http://php.jdshipin.com:8880/chudian.php?id=lpzh
惠东综合,http://php.jdshipin.com:8880/chudian.php?id=hdzh
开平综合,http://php.jdshipin.com:8880/chudian.php?id=kpzh
开平生活,http://php.jdshipin.com:8880/chudian.php?id=kpsh
